1.024042698398834E-002	1.794292767924746E-004
9.970875689786581E-003	2.485587984216877E-003
9.176753387222460E-003	4.667421078797099E-003
7.900871415178118E-003	6.607305373657871E-003
6.212012901016198E-003	8.200661204342914E-003
4.201224644379901E-003	9.361590345595219E-003
1.976908760657634E-003	1.002750680691455E-002
-3.410213051164310E-004	1.016251085950515E-002
-2.627605343122579E-003	9.759324399947363E-003
-4.759573016011679E-003	8.839683314636851E-003
-6.621989394699015E-003	7.453165692522944E-003
-8.114451130141044E-003	5.674519057500510E-003
-9.156499223870756E-003	3.599630710049130E-003
-9.691956593431092E-003	1.340358418044734E-003
-9.691956593431084E-003	-9.814998644598748E-004
-9.156499223870731E-003	-3.240772156464250E-003
-8.114451130141004E-003	-5.315660503915623E-003
-6.621989394698961E-003	-7.094307138938046E-003
-4.759573016011618E-003	-8.480824761051933E-003
-2.627605343122524E-003	-9.400465846362428E-003
-3.410213051163869E-004	-9.803652305920212E-003
1.976908760657675E-003	-9.668648253329597E-003
4.201224644379929E-003	-9.002731792010254E-003
6.212012901016212E-003	-7.841802650757958E-003
7.900871415178130E-003	-6.248446820072908E-003
9.176753387222469E-003	-4.308562525212142E-003
9.970875689786581E-003	-2.126729430631930E-003
2.512366130218013E-003	-7.409375961325223E-003
-1.208085417649100E-003	8.051377771565079E-003
-7.467640709708826E-003	-1.647416325779204E-003
8.432252537311396E-003	9.176511700745001E-004
-4.548180032174211E-003	-6.382460673815418E-003
-6.749490244774903E-003	3.771581969639360E-003
6.858823321448412E-003	-4.173558472621546E-003
5.625082026052184E-003	5.882671821416109E-003
-1.135143607680508E-003	-7.621819211340000E-003
2.400078909071783E-003	7.692109780587235E-003
-4.516039609704310E-003	6.624324989867769E-003
6.771750264085449E-004	-8.095557262570885E-003
3.449945161011087E-004	-5.888335155772809E-003
2.577560671609018E-003	-4.982744324039574E-003
7.344085919673144E-004	-3.530925056195643E-003
2.797738061237445E-003	-2.666072629465996E-003
9.220944378055827E-004	-1.316330527614498E-003
-1.123313914406944E-003	-2.159550755509529E-003
-9.522549831075326E-004	4.692652079060772E-005
1.153266860497142E-003	9.674974290992415E-004
-7.233264472471368E-004	2.334714909825361E-003
-2.844214323132972E-003	1.390853589092183E-003
1.395324871755426E-003	3.275092014938588E-003
3.273379733695492E-003	1.910118373239570E-003
-4.410723167049657E-004	4.545961953677249E-003
-2.506139261377134E-003	-5.566642270397134E-003
3.508921959539724E-003	4.264251308687894E-003
5.242985914564822E-003	3.009643920806040E-003
4.979568422952418E-003	5.868343070145217E-004
1.758235778196935E-003	5.405109278877285E-003
-2.558239737980771E-003	3.594848090862837E-003
-4.644878813333231E-003	2.675421876866142E-003
-5.119589308227251E-003	3.936333848671647E-004
-3.090403259804306E-003	-9.233497862274110E-004
-2.949556209284794E-003	-3.142117933586061E-003
3.029848511529241E-003	-3.986121072049528E-004
4.798387856218822E-003	-1.633887086983185E-003
4.390560197722766E-003	-6.502536612050934E-003
-4.989024779137757E-003	-2.230557235947376E-003
-7.527965292786795E-003	6.727101540794495E-004
-6.782449651013160E-003	-3.700800639434916E-003
-2.301757264119254E-003	5.967023081033870E-003
6.875946595755337E-003	-7.002097404111077E-004
4.864334087433773E-003	-4.041582992589628E-003
7.046316503831294E-003	4.259435051048427E-003
3.710830082314356E-003	6.190343765837594E-003
-3.104075323384007E-003	-7.495681971581239E-003
8.006166763646867E-003	-2.442785058549643E-003
-3.082612130121384E-003	7.848346711410185E-003
-6.058044461531824E-003	5.629140909724756E-003
5.606424220338348E-004	8.479280413621434E-003
-4.381699084921923E-003	4.667152284963567E-003
3.097105215071677E-005	6.545712761959307E-003
-4.658419465509606E-003	-4.405902599366258E-003
8.705133714097700E-003	-8.345287565451414E-004
8.223130737979473E-003	2.780255361375572E-003
6.167340228593677E-003	-5.788802882624483E-003
-6.145097934707387E-003	-5.379826311094052E-003
-7.906820650114083E-003	2.352321033505728E-003
4.499155736380809E-003	7.570947532552230E-003
-1.072324158887197E-003	-4.033968648360836E-003
6.381519176304916E-003	-2.550691652983145E-003
-6.298178204296252E-003	2.030986550634847E-003
6.647913673949795E-003	1.692484323205430E-003
